"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
283,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Сюрхаратинское месторождение","oil","","нефтяное",67.991946,57.757769,"/oil-gas-field/syurkharatinskoye","Syurkharatinskoye"
284,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Пюсейское месторождение","oil","","нефтяное",67.996389,57.97304,"/oil-gas-field/pyuseyskoye","Pyuseyskoye"
285,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Южно-Сюрхаратинское месторождение","oil","","нефтяное",67.927232,57.708897,"/oil-gas-field/yuzhno-syurkharatinskoye","Yuzhno Syurkharatinskoye"
286,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Урернырдское месторождение","oil","","нефтяное",67.942222,57.872778,"/oil-gas-field/urernyrdskoye","Urernyrdskoye"
287,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Восточно-Янемдейское месторождение","oil","","нефтяное",67.791667,57.49,"/oil-gas-field/vostochno-yanemdeyskoye","Vostochno Yanemdeyskoye"
288,"Нарьян-Мар","ПАО ""НК ""РОСНЕФТЬ""","Пасседское месторождение","oil","","нефтяное",68.582222,58.282222,"/oil-gas-field/passedskoye","Passedskoye"
289,"Баку","Bp Plc","Месторождение Шах-Дениз","gas-condensate","","газоконденсатное",39.966736,50.216142,"/oil-gas-field/shakh-deniz","Shakh Deniz"
290,"Оренбург","АО «Оренбургнефть»","Рыбкинское месторождение","oil","","нефтяное",51.85338,53.83665,"/oil-gas-field/rybkinskoye","Rybkinskoye"
291,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Южно-Сургутское месторождение","oil","","нефтяное",61.16245,72.997971,"/oil-gas-field/yuzhno-surgutskoye","Yuzhno Surgutskoye"
292,"Нурлат","ПАО «Татнефть»","Вишнево-Полянское месторождение","oil","","нефтяное",54.533333,50.747811,"/oil-gas-field/vishnevo-polyanskoye","Vishnevo Polyanskoye"
293,"Новый Уренгой","ПАО «Газпром»","Малыгинское месторождение","gas-condensate","","газоконденсатное",72.25,70.583333,"/oil-gas-field/malyginskoye","Malyginskoye"
294,NA,"АО «Узбекнефтегаз»","Месторождения Шахпахты","gas-condensate","","газоконденсатное",42.653026,56.386471,"/oil-gas-field/shakhpakhty","Shakhpakhty"
296,"Оренбург","АО НК ""РуссНефть""","Яснополянское месторождение","gas-oil","","газонефтяное",51.667307,52.981582,"/oil-gas-field/yasnopolyanskoye","Yasnopolyanskoye"
297,"Тюмень","ООО «РН «Уватнефтегаз»","Южно-Петьёгское месторождение","oil","","нефтяное",59.132975,71.723335,"/oil-gas-field/yuzhno-petyogskoye","Yuzhno Petyogskoye"
298,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Угутское месторождения","oil","","нефтяное",60.516667,74.15,"/oil-gas-field/ugutskoe","Ugutskoe"
299,"Нижневартовск","АО НК ""РуссНефть""","Тагринское месторождение","oil-gas-condensate","","нефтегазоконденсатное",62.426625,78.152618,"/oil-gas-field/tagrinskoye","Tagrinskoye"
300,"Пеледуй","ОАО ""Сургутнефтегаз""","Талаканское месторождение","oil-gas-condensate","","нефтегазоконденсатное",59.819971,110.87677,"/oil-gas-field/talakanskoe","Talakanskoe"
301,"Нижневартовск","АО НК ""РуссНефть""","Варьеганское месторождение","oil-gas-condensate","","нефтегазоконденсатное",62.100833,77.554722,"/oil-gas-field/varjeganskoe","Varjeganskoe"
302,"Нефтекамск","ПАО АНК «Башнефть»","Арланское месторождение","oil","","нефтяное",56.134167,54.049167,"/oil-gas-field/arlanskoe","Arlanskoe"
303,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Усть-Балыкское месторождение","oil","","нефтяное",61.049167,72.640556,"/oil-gas-field/ust-balykskoe","Ust Balykskoe"
304,"Оха","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Усть-Эвай","gas-condensate","","газоконденсатное",52.284444,143.078611,"/oil-gas-field/ust-evai","Ust Evai"
305,"Бованенково","ПАО «Газпром»","Крузенштернское месторождение","gas-condensate","","газоконденсатное",70.601389,67.192778,"/oil-gas-field/kruzenshternskoe","Kruzenshternskoe"
306,"Бованенково","ПАО «Газпром»","Харасавэйское месторождение","gas-condensate","","газоконденсатное",71.193178,66.86245,"/oil-gas-field/kharasaveyskoe","Kharasaveyskoe"
307,"Варандей","ООО «ЛУКОЙЛ-Коми»","Варандейское месторождение","oil","","нефтяное",68.783957,58.182907,"/oil-gas-field/varandeyskoe","Varandeyskoe"
308,"Оренбург","АО «Оренбургнефть»","Кирсановское месторождение","oil","","нефтяное",54.268611,52.9825,"/oil-gas-field/kirsanovskoe","Kirsanovskoe"
309,"Когалым","ООО ""ЛУКойл-Аик""","Когалымское месторождение","oil","","нефтяное",62.4425,73.958611,"/oil-gas-field/kogalymskoye","Kogalymskoye"
310,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Тевлинско-Русскинское месторождение","oil","","нефтяное",62.585122,73.518448,"/oil-gas-field/tevlinsko-russinskoe","Tevlinsko Russinskoe"
311,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Вать-Еганское месторождение","oil","","нефтяное",62.216389,75.175,"/oil-gas-field/vat-eganskoe","Vat Eganskoe"
312,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Повховское месторождение","oil","","нефтяное",62.441111,75.919722,"/oil-gas-field/povkhovskoye","Povkhovskoye"
313,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Южно-Ягунское месторождение","oil","","нефтяное",62.446111,74.280833,"/oil-gas-field/yuzhno-yagunskoye","Yuzhno Yagunskoye"
314,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Покачевское месторождение","oil","","нефтяное",61.738611,75.234167,"/oil-gas-field/pokachevskoye","Pokachevskoye"
315,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Урьевское месторождение","oil","","нефтяное",61.345833,75.301111,"/oil-gas-field/urievskoye","Urievskoye"
316,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Нонг-Еганское месторождение","oil","","нефтяное",61.901944,74.875556,"/oil-gas-field/nong-eganskoe","Nong Eganskoe"
317,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Дружное месторождение","oil","","нефтяное",62.406276,74.783936,"/oil-gas-field/druzhnoe","Druzhnoe"
318,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Нивагальское месторождение","oil","","нефтяное",61.49256,74.915772,"/oil-gas-field/nivagalskoe","Nivagalskoe"
319,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Поточное месторождение","oil","","нефтяное",61.470267,75.531006,"/oil-gas-field/potochnoe","Potochnoe"
320,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Кечимовское месторождение","oil","","нефтяное",61.714611,74.720764,"/oil-gas-field/kechimovskoe","Kechimovskoe"
321,"Харьяга","ООО «ЛУКОЙЛ-Коми»","Ошское месторождение","oil","","нефтяное",67.033889,56.668333,"/oil-gas-field/oshskoe","Oshskoe"
322,"Харьяга","ООО «ЛУКОЙЛ-Коми»","Восточно-Ламбейшорское месторождение","oil","","нефтяное",66.857222,56.138611,"/oil-gas-field/vostochno-lambeishorskoe","Vostochno Lambeishorskoe"
323,"Печора","ООО «ЛУКОЙЛ-Коми»","Кыртаельское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.996944,57.007222,"/oil-gas-field/kyrtaelskoe","Kyrtaelskoe"
324,"Усолье","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Уньвинское месторождение","oil","","нефтяное",59.164167,56.827222,"/oil-gas-field/uunvinskoye","Uunvinskoye"
325,"Чайковский","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Шагиртско-Гожанское месторождение","oil","","нефтяное",56.516944,55.185556,"/oil-gas-field/shagirt-gozhanskoe","Shagirt Gozhanskoe"
326,"Усолье","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Сибирское месторождение","oil","","нефтяное",59.275,56.984722,"/oil-gas-field/sibirskoe","Sibirskoe"
327,"Саратов","ПАО ""ЛУКОЙЛ""","Памятно-Сасовское месторождение","oil","","нефтяное",50.756389,45.126667,"/oil-gas-field/pamyatno-sasovskoe","Pamyatno Sasovskoe"
328,"Калининград","ПАО ""ЛУКОЙЛ""","Кравцовское месторождение","oil","","нефтяное",55.3225,20.555556,"/oil-gas-field/kravtsovskoye","Kravtsovskoye"
329,"Новый Уренгой","ООО «ЛУКОЙЛ-Западная Сибирь»","Находкинское месторождение","oil-gas","","нефтегазовое",68.006389,77.982222,"/oil-gas-field/nakhodkinskoye","Nakhodkinskoye"
330,"Сабетта","ООО ""Арктик СПГ 3""","Северо-Обское месторождение (лицензионный участок)","gas-condensate","","газоконденсатное",72.5325,73.660556,"/oil-gas-field/ob-north-license-area","Ob North License Area"
331,"Мунгуй","АО ""ТАЙМЫРНЕФТЕГАЗ""","Пайяхское месторождение","oil","","нефтяное",70.491111,84.340833,"/oil-gas-field/payakhskoe","Payakhskoe"
332,"Новый Уренгой","ПАО «Газпром»","Ен-Яхинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",67.008501,76.296616,"/oil-gas-field/yon-yakhinskoye","Yon Yakhinskoye"
333,"Пыть-Ях","ПАО ""НК ""РОСНЕФТЬ""","Среднебалыкское месторождение","oil","","нефтяное",60.514047,72.555428,"/oil-gas-field/sredne-balykskskoe","Sredne Balykskskoe"
334,"Нарьян-Мар","АО «Независимая нефтегазовая компания»","Колвинское месторождение","oil","","нефтяное",67.469444,59.458889,"/oil-gas-field/kolvinskoe","Kolvinskoe"
335,"Уренгой","ОАО «Севернефтегазпром»","Южно-Русское месторождение (ЮРНГКМ)","oil-gas-condensate","","нефтегазоконденсатное",65.934855,80.275555,"/oil-gas-field/south-russkoe","South Russkoe"
336,"Тарко-Сале","ПАО «НОВАТЭК»","Термокарстовое месторождение","gas-condensate","","газоконденсатное",65.405556,82.474444,"/oil-gas-field/termokarstovoye","Termokarstovoye"
337,"пгт Ноглики","ООО «Газпромнефть-Сахалин»","Месторождение Тритон (Аяшский участок)","oil","","нефтяное",52.519564,144.140625,"/oil-gas-field/triton","Triton"
338,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Хохряковское месторождение","oil","","нефтяное",61.524005,79.374847,"/oil-gas-field/khokhryakovskoye","Khokhryakovskoye"
339,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Салымское месторождение (Лемпинская площадь)","oil","","нефтяное",60.849594,71.244278,"/oil-gas-field/salymskoe","Salymskoe"
340,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Киняминское месторождение","oil","","нефтяное",60.497138,74.70643,"/oil-gas-field/kinyaminskoe","Kinyaminskoe"
341,"Усть-Кут","ООО «ИНК» (Иркутская нефтяная компания)","Марковское месторождение","oil-gas-condensate","","нефтегазоконденсатное",57.335278,106.73,"/oil-gas-field/markovskoe","Markovskoe"
342,"Яр-Сале","ПАО «Газпром»","Северо-Тамбейский лицензионный участок","gas-condensate","","газоконденсатное",71.732728,71.985598,"/oil-gas-field/severo-tambeiskoe","Severo Tambeiskoe"
343,NA,"ПАО «Газпром»","Русановский лицензионный участок","gas-condensate","","газоконденсатное",73.366667,65.616667,"/oil-gas-field/rusanovskoe","Rusanovskoe"
344,NA,"ПАО «Газпром»","Ленинградское месторождение","gas-condensate","","газоконденсатное",72.358889,65.620833,"/oil-gas-field/leningradskoe","Leningradskoe"
345,"Ленск","ПАО «Газпром»","Тас-Юряхское месторождение","oil-gas-condensate","","нефтегазоконденсатное",61.75,113.583333,"/oil-gas-field/tas-uryakhskoe","Tas Uryakhskoe"
346,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Петелинское месторождение","oil-gas","","нефтегазовое",60.600556,71.948889,"/oil-gas-field/petelinskoe","Petelinskoe"
347,"Нефтеюганск","Собственник/Инвестор","Мултановское месторождение","oil","","нефтяное",60.050622,73.49888,"/oil-gas-field/multanovskoe","Multanovskoe"
348,"Нягань","ПАО ""ЛУКОЙЛ""","Западно-Тугровское месторождение","oil-gas","","нефтегазовое",61.668128,64.673424,"/oil-gas-field/zapadno-tugrovskoe","Zapadno Tugrovskoe"
349,NA,"ПАО ""ЛУКОЙЛ""","Восточно-Тугровское месторождение","oil-gas","","нефтегазовое",61.680556,64.848889,"/oil-gas-field/vostochno-tugrovskoe","Vostochno Tugrovskoe"
350,"Ханты-Мансийск","ООО «ЛУКОЙЛ-Западная Сибирь»","Ловинское месторождение","oil","","нефтяное",61.244313,65.016403,"/oil-gas-field/lovinskoe","Lovinskoe"
351,"Нижневартовск","Собственник/Инвестор","Южно-Гавриковское месторождение","oil-gas","","нефтегазовое",58.767222,74.094722,"/oil-gas-field/yuzhno-gavrikovskoe","Yuzhno Gavrikovskoe"
352,NA,"АО «Томскнефть» ВНК","Герасимовское месторождение","oil-gas-condensate","","нефтегазоконденсатное",57.650003,78.914478,"/oil-gas-field/gerasimovskoe","Gerasimovskoe"
353,"Усинск","ООО «ЛУКОЙЛ-Коми»","Южно-Юрьяхинское месторождение","oil-gas","","нефтегазовое",66.718365,55.001078,"/oil-gas-field/yuzhno-yuryakhinskoe","Yuzhno Yuryakhinskoe"
354,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Пашшорское месторождение","oil","","нефтяное",67.016667,54.797811,"/oil-gas-field/pashshorskoe","Pashshorskoe"
355,"Усинск","ООО «ЛУКОЙЛ-Коми»","Месторождение им. Алабушина","oil","","нефтяное",66.251667,56.623333,"/oil-gas-field/im-alabushina","Im Alabushina"
356,"Иркутск","ПАО «Газпром нефть»","Игнялинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.279444,56.43,"/oil-gas-field/ignyalinskoe","Ignyalinskoe"
357,"Ленск","ПАО «Газпром нефть»","Тымпучиканское месторождение","oil-gas-condensate","","нефтегазоконденсатное",60.536908,110.552006,"/oil-gas-field/tympuchikanskoe","Tympuchikanskoe"
358,"Ленск","ПАО «Газпром нефть»","Вакунайское месторождение","oil-gas-condensate","","нефтегазоконденсатное",60.464444,109.756389,"/oil-gas-field/vakunaiskoe","Vakunaiskoe"
359,"Якутск","АО «САХАТРАНСНЕФТЕГАЗ»","Среднетюнгское месторождение","gas-condensate","","газоконденсатное",64.528835,120.495386,"/oil-gas-field/srednetyungskoe","Srednetyungskoe"
360,"Ленск","ПАО «Газпром»","Верхневилючанское месторождение","oil-gas","","нефтегазовое",61.730833,115.508889,"/oil-gas-field/verkhnevilyuchanskoe","Verkhnevilyuchanskoe"
361,"Норильск","ПАО «Газпром»","Северо-Соленинское месторождение","gas-condensate","","газоконденсатное",69.165,81.123648,"/oil-gas-field/severo-soleninskoe","Severo Soleninskoe"
362,"Бузулук","АО «Оренбургнефть»","Бобровское месторождение","oil-gas","","нефтегазовое",52.621389,51.921389,"/oil-gas-field/bobrovskoe","Bobrovskoe"
363,"Тобольск","ООО «РН «Уватнефтегаз»","Тальцийское месторождение","oil","","нефтяное",59.039167,72.807778,"/oil-gas-field/talciiskoe","Talciiskoe"
364,"Лабытнанги","ПАО «НОВАТЭК»","Мало-Ямальский лицензионный участок","gas-condensate","","газоконденсатное",68.261667,71.447778,"/oil-gas-field/malo-yamalskoe","Malo Yamalskoe"
365,"Лабытнанги","ООО «Газпромнефть-Ямал»","Южно-Каменномысский лицензионный участок","oil","","нефтяное",67.886111,72.459444,"/oil-gas-field/yuzhno-kamennomysskoe","Yuzhno Kamennomysskoe"
366,"Лабытнанги","ПАО «Газпром нефть»","Каменномысский лицензионный участок","oil-gas-condensate","","нефтегазоконденсатное",68.536667,73.449722,"/oil-gas-field/kamennomysskoe","Kamennomysskoe"
367,"Лабытнанги","ПАО «Газпром нефть»","Суровый лицензионный часток","oil","","нефтяное",67.071111,71.555556,"/oil-gas-field/surovoe","Surovoe"
368,"Кунгур","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Кокуйское месторождение","oil-gas-condensate","","нефтегазоконденсатное",57.207778,56.616389,"/oil-gas-field/kokuiskoe","Kokuiskoe"
369,NA,"ООО «Газпром нефть шельф»","Долгинское месторождение","oil","","нефтяное",69.664722,55.699722,"/oil-gas-field/dolginskoe","Dolginskoe"
370,"Ижевск","ОАО ""Удмуртнефть""","Ижевском месторождении","oil","","нефтяное",56.651389,53.363056,"/oil-gas-field/izhevskoe","Izhevskoe"
371,"Нижневартовск","ОАО ""НГК ""Славнефть""","Ватинское месторождение","oil","","нефтяное",61.112778,76.010556,"/oil-gas-field/vatinskoe","Vatinskoe"
372,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Северо-Есетинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.171111,77.575278,"/oil-gas-field/severo-esetinskoe","Severo Esetinskoe"
373,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Нядейюское месторождение","oil","","нефтяное",67.846111,60.568889,"/oil-gas-field/nyadeiyuskoe","Nyadeiyuskoe"
374,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Имилорское месторождение","oil","","нефтяное",62.863611,73.843333,"/oil-gas-field/imilorskoe","Imilorskoe"
375,"Сургут","ПАО ""ЛУКОЙЛ""","Чумпасское месторождение","oil","","нефтяное",61.240278,75.1075,"/oil-gas-field/chumpasskoe","Chumpasskoe"
376,"Сосногорск","ООО «ЛУКОЙЛ-Коми»","Пашнинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",63.256667,56.443889,"/oil-gas-field/pashninskoe","Pashninskoe"
377,"Мелеуз","АО «Оренбургнефть»","Волостновское месторождение","oil","","нефтяное",52.981944,56.193889,"/oil-gas-field/volostnovskoe","Volostnovskoe"
378,NA,"АО НК ""РуссНефть""","Верхне-Шапшинское месторождение","oil","","нефтяное",60.750438,70.21019,"/oil-gas-field/verkhne-shapshynskoe","Verkhne Shapshynskoe"
379,"Соликамск","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Жилинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",59.588191,57.131985,"/oil-gas-field/zhilinskoe","Zhilinskoe"
380,"Печора","ООО «Газпром добыча Краснодар»","Печорогородское месторождение","gas-condensate","","газоконденсатное",65.116667,57.231145,"/oil-gas-field/pechorogorodskoe","Pechorogorodskoe"
381,"Уват","ООО «РН «Уватнефтегаз»","Немчиновское месторождение","oil","","нефтяное",59.193056,71.393889,"/oil-gas-field/nemchinovskoe","Nemchinovskoe"
382,"Нижневартовск","АО «Томскнефть» ВНК","Трайгородско-Кондаковское месторождение","oil","","нефтяное",59.437222,78.706389,"/oil-gas-field/traigorodsko-kondakovskoe","Traigorodsko Kondakovskoe"
383,"Усинск","ПАО ""НК ""РОСНЕФТЬ""","Южно-Баганское месторождение","oil","","нефтяное",66.384722,58.146111,"/oil-gas-field/yuzhnobaganskoe","Yuzhnobaganskoe"
384,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Кузоваткинское месторождение","oil","","нефтяное",60.089444,72.465833,"/oil-gas-field/kuzovatkinskoe","Kuzovatkinskoe"
385,"Сабетта","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Верхнетиутейское месторождение","gas","","газовое",70.7075,69.971667,"/oil-gas-field/verkhnetiuteyskoe","Verkhnetiuteyskoe"
386,"Сабетта","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Западно-Сеяхинское месторождение","gas","","газовое",70.715278,69.965278,"/oil-gas-field/zapadno-seyakhinskoye","Zapadno Seyakhinskoye"
387,"Бузулук","АО «Оренбургнефть»","Росташинское месторождение","oil","","нефтяное",52.005556,51.673333,"/oil-gas-field/rostashinskoe","Rostashinskoe"
388,"Бузулук","АО «Оренбургнефть»","Сорочинско-Никольское месторождение","oil-gas","","нефтегазовое",52.601944,53.192222,"/oil-gas-field/sorochinsko-nikolskoe","Sorochinsko Nikolskoe"
389,"Бузулук","АО «Оренбургнефть»","Гаршинское месторождение","oil","","нефтяное",52.2175,51.851389,"/oil-gas-field/garshinskoe","Garshinskoe"
390,"Бузулук","АО «Оренбургнефть»","Покровское месторождение","oil","","нефтяное",52.818333,53.049167,"/oil-gas-field/pokrovskoe","Pokrovskoe"
391,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Северо-Кочевское месторождение","oil","","нефтяное",62.720278,73.270278,"/oil-gas-field/severo-kochevskoe","Severo Kochevskoe"
392,"Соликамск","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Месторождение им. Сухарева","oil","","нефтяное",59.365,56.669167,"/oil-gas-field/im-sukhareva","Im Sukhareva"
393,"Бузулук","АО «Оренбургнефть»","Скворцовское месторождение","oil","","нефтяное",52.557778,52.385556,"/oil-gas-field/skvortsovskoe","Skvortsovskoe"
394,"Туймазы","ПАО АНК «Башнефть»","Илишевское месторождение","oil","","нефтяное",55.387222,54.046111,"/oil-gas-field/ilishevskoe","Ilishevskoe"
395,"Тулун","ПАО «Газпром»","Чиканское месторождение","gas-condensate","","газоконденсатное",54.980833,105.671111,"/oil-gas-field/chikanskoe","Chikanskoe"
396,"Новый Уренгой","ООО «ЛУКОЙЛ-Западная Сибирь»","Хальмерпаютинское месторождение","gas-condensate","","газоконденсатное",67.6875,81.334444,"/oil-gas-field/khalmerpayutinskoe","Khalmerpayutinskoe"
397,NA,"ПАО «Газпром»","Нярмейский участок","gas","","газовое",72.477222,68.100278,"/oil-gas-field/nyarmeiskoe","Nyarmeiskoe"
398,NA,"ПАО «Газпром»","Месторождение им. В.А. Динкова","gas","","газовое",73.310833,65.668611,"/oil-gas-field/im-dinkova","Im Dinkova"
399,NA,"ПАО «Газпром»","Скуратовский участок","gas","","газовое",72.9425,68.401389,"/oil-gas-field/skuratovskoe","Skuratovskoe"
400,"Сургут","ООО «РН-Юганскнефтегаз»","Южно-Балыкское месторождение","oil","","нефтяное",60.595,72.697222,"/oil-gas-field/yuzhno-balykskoe","Yuzhno Balykskoe"
401,"Сургут","ООО «РН-Юганскнефтегаз»","Среднеугутское месторождение","oil-gas","","нефтегазовое",60.464444,73.897222,"/oil-gas-field/sredneugutskoe","Sredneugutskoe"
402,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Верхнеколик-Еганское месторождение","oil-gas-condensate","","нефтегазоконденсатное",62.394167,80.121389,"/oil-gas-field/verkhnekolik-eganskoe","Verkhnekolik Eganskoe"
403,"Ханты-Мансийск","ООО «РН «Уватнефтегаз»","Радонежское месторождение","oil","","нефтяное",59.44457,71.598716,"/oil-gas-field/radonezhskoe","Radonezhskoe"
404,"Тобольск","ООО «РН «Уватнефтегаз»","Северо-Тямкинское месторождение","oil","","нефтяное",59.128611,71.756667,"/oil-gas-field/severo-tyamkinskoe","Severo Tyamkinskoe"
405,"Норильск","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Нанадянское месторождение","gas","","газовое",69.730278,79.664444,"/oil-gas-field/nanadyanskoe","Nanadyanskoe"
406,"Нижневартовск","АО «Русь-Ойл»","Варынгское месторождение","oil-gas-condensate","","нефтегазоконденсатное",62.464032,80.364494,"/oil-gas-field/varyngskoe","Varyngskoe"
407,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Бахиловское месторождение","oil-gas-condensate","","нефтегазоконденсатное",62.485904,79.752125,"/oil-gas-field/bakhilovskoe","Bakhilovskoe"
408,"Тольятти","АО «РИТЭК»","Майоровское месторождение","oil","","нефтяное",54.223611,50.693056,"/oil-gas-field/maiorovskoe","Maiorovskoe"
409,"Тольятти","АО «РИТЭК»","Марьинское месторождение","oil","","нефтяное",51.206944,50.612222,"/oil-gas-field/marinskoe","Marinskoe"
410,"Сургут","ОАО ""Сургутнефтегаз""","Комарьинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",61.4325,72.2175,"/oil-gas-field/komarinskoe","Komarinskoe"
411,"Мелеуз","ПАО АНК «Башнефть»","Тереклинское месторождение","oil","","нефтяное",53.119167,55.842778,"/oil-gas-field/tereklinskoe","Tereklinskoe"
412,"Ханты-Мансийск","ООО «Газпромнефть-Хантос»","Южно-Приобское месторождение","oil","","нефтяное",60.800054,69.892273,"/oil-gas-field/yuzhno-priobskoe","Yuzhno Priobskoe"
413,"Пермь","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Рассветное месторождение","oil","","нефтяное",57.395499,55.795397,"/oil-gas-field/rassvetnoe","Rassvetnoe"
414,"Уфа","ПАО АНК «Башнефть»","Искринское месторождение","oil","","нефтяное",54.804115,56.628685,"/oil-gas-field/iskrinskoe","Iskrinskoe"
415,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Южно-Хадырьяхинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",65.033889,79.965,"/oil-gas-field/yuzhno-khadyryakhinskoe","Yuzhno Khadyryakhinskoe"
416,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Стерховое месторождение","gas-condensate","","газоконденсатное",65.337222,77.378056,"/oil-gas-field/sterkhovoe","Sterkhovoe"
417,"Томск","ООО «Газпромнефть-Восток»","Южно-Шингинское месторождение","oil","","нефтяное",58.237483,78.336039,"/oil-gas-field/yuzhno-shinginskoe","Yuzhno Shinginskoe"
418,"Новый Уренгой","АО «Газпромнефть-Ноябрьскнефтегаз»","Западно-Чатылькинское месторождение","oil","","нефтяное",63.297222,80.674444,"/oil-gas-field/west-chatylkinskoe","West Chatylkinskoe"
419,"Печора","ООО «ЛУКОЙЛ-Коми»","Южно-Терехевейское месторождение","oil","","нефтяное",65.284722,55.86,"/oil-gas-field/south-terekheveiskoe","South Terekheveiskoe"
420,"Норильск","ПАО «НОВАТЭК»","Солетско-Ханавейское месторождение","gas-condensate","","газоконденсатное",69.776389,75.383333,"/oil-gas-field/soletsko-khanaveiskoe","Soletsko Khanaveiskoe"
421,"Салехард","ПАО «НОВАТЭК»","Штормовое месторождение","gas","","газовое",71.771111,73.743333,"/oil-gas-field/stormovoe","Stormovoe"
422,"Певек","ООО «Газпромнефть-Сахалин»","Северо-Врангелевский лицензионный участок","oil-gas","","нефтегазовое",73.311111,175.260278,"/oil-gas-field/severo-vrangelevsky","Severo Vrangelevsky"
423,"Кодинск","ПАО «Газпром»","Абаканское месторождение","gas","","газовое",58.359444,97.318611,"/oil-gas-field/abakanskoe","Abakanskoe"
424,NA,"ПАО «Газпром»","Ильбокичское месторождение","gas-condensate","","газоконденсатное",59.131667,98.625556,"/oil-gas-field/ilbokichskoe","Ilbokichskoe"
425,"Богучаны","ПАО «Газпром»","Имбинское месторождение","gas","","газовое",58.462778,97.641944,"/oil-gas-field/imbinskoye","Imbinskoye"
426,"Николаевск-на-Амуре","«Сахалин Энерджи Инвестмент Компани Лтд.» («Сахалин Энерджи» / ""SAKHALIN ENERGY"")","Лунское месторождение","oil-gas-condensate","","нефтегазоконденсатное",51.434722,143.651944,"/oil-gas-field/lunskoe","Lunskoe"
427,"Ленск","ОАО ""Сургутнефтегаз""","Ленское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.714167,80.448056,"/oil-gas-field/lenskoye","Lenskoye"
428,"Оха","«Сахалин Энерджи Инвестмент Компани Лтд.» («Сахалин Энерджи» / ""SAKHALIN ENERGY"")","Пильтун-Астохское месторождение","oil-gas-condensate","","нефтегазоконденсатное",52.845556,143.594722,"/oil-gas-field/piltun-astokhskoe","Piltun Astokhskoe"
