"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
44,"Астрахань","ЗАО ""Нефтегазовая компания ""АФБ"" (""НГК ""АФБ"")","Месторождение Великое","oil-gas","42.30","нефтегазовое",47.186083,47.510259,"/oil-gas-field/velikoe","Velikoe"
45,"Ханты-Мансийск","Собственник/Инвестор","Гавриковское месторождение","oil","40.00","нефтяное",58.947778,74.265556,"/oil-gas-field/gavrikovskoe","Gavrikovskoe"
46,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Харбейское месторождение","oil-gas-condensate","40.00","нефтегазоконденсатное",67.014444,80.895833,"/oil-gas-field/kharbeiskoe","Kharbeiskoe"
47,"Нарьян-Мар","ООО ""Башнефть-Полюс""","Месторождение им. А. Титова","oil","38.00","нефтяное",68.303428,58.371048,"/oil-gas-field/a-titova","A Titova"
48,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение им. В.И. Грайфера (Ракушечное месторождение)","gas-condensate","38.00","газоконденсатное",45.062778,48.610833,"/oil-gas-field/rakushechnoe","Rakushechnoe"
49,"Куюмба","ПАО «Газпром нефть»","Оморинское месторождение","oil-gas","36.00","нефтегазовое",60.166669,95.414478,"/oil-gas-field/omorinskoye","Omorinskoye"
50,"Киренск","ООО «ИНК» (Иркутская нефтяная компания)","Западно-Аянское месторождение","oil-gas-condensate","33.58","нефтегазоконденсатное",57.705615,107.432556,"/oil-gas-field/west-ayanskoe","West Ayanskoe"
51,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Северо-Рогожниковское (имени В. И. Шпильмана) месторождение","oil","32.95","нефтяное",62.423446,66.906738,"/oil-gas-field/severo-rogozhnikovskoe-shpilmana","Severo Rogozhnikovskoe Shpilmana"
52,"Северск","АО ""Новосибирскнефтегаз""","Верх-Тарское месторождение","oil","32.00","нефтяное",56.803698,78.718586,"/oil-gas-field/verkh-tarskoe","Verkh Tarskoe"
53,"Ханты-Мансийск","ООО ""Башнефть-Полюс""","Тортасинское месторождение","oil","29.00","нефтяное",62.211389,69.501111,"/oil-gas-field/tortasinskoe","Tortasinskoe"
54,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение им. Ю. Корчагина","oil-gas-condensate","28.80","нефтегазоконденсатное",44.924722,48.985556,"/oil-gas-field/korchagina","Korchagina"
