"id","city","company","name","type","prod"
90,"Нижневартовск","ООО «Газпромнефть-Хантос»","Южно-Киняминское месторождение","нефтяное","3.70 млн. тонн"
91,"Батайск","ООО «Газпром добыча Краснодар»","Азовское месторождение","нефтегазовое","3.19 млн. тонн"
92,"Астрахань","ПАО ""ЛУКОЙЛ""","Хвалынское месторождение","нефтегазоконденсатное","2.00 млн. тонн"
93,"Тара","АО «Томскнефть» ВНК","Двуреченское месторождение","нефтяное","1.80 млн. тонн"
94,"Кедровый","ООО «Газпромнефть-Восток»","Шингинское месторождение","нефтегазоконденсатное","1.20 млн. тонн"
95,"Оренбург","ООО ""Газпром добыча Оренбург""","Нагумановское месторождение","нефтегазоконденсатное","0.96 млн. тонн"
96,"Темрюк","ОАО ""НК Приазовнефть""","Новое месторождение","нефтяное","0.87 млн. тонн"
97,"Кедровый","ООО «Газпромнефть-Восток»","Западно-Лугинецкое месторождение","нефтяное",NA
98,"Кедровый","ООО «Газпромнефть-Восток»","Нижнелугинецкое месторождение","нефтяное",NA
99,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Суторминское месторождение","нефтегазовое",NA
100,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Муравленковское месторождение","газонефтяное",NA
101,"Губкинский","ПАО ""НК ""РОСНЕФТЬ""","Ново-Пурпейское месторождение","нефтяное",NA
102,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Умсейское месторождение","нефтегазоконденсатное",NA
103,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Северо-Янгтинское месторождение","нефтегазовое",NA
104,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Северо-Памалияхское","нефтяное",NA
105,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Карамовское месторождение","нефтяное",NA
106,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Пограничное месторождение","нефтяное",NA
107,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Средне-Итурское месторождение","нефтяное",NA
108,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Западно-Ноябрьское месторождение","нефтяное",NA
109,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Новогоднее месторождение","нефтяное",NA
110,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Ярайнерское месторождение","нефтяное",NA
111,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Холмистое месторождение","нефтегазовое",NA
112,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Чатылькинское месторождение","нефтяное",NA
113,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Воргенское месторождение","нефтяное",NA
114,"Оренбург","ООО «Газпромнефть-Оренбург»","Оренбургское месторождение (Восточный участок)","нефтегазоконденсатное",NA
115,"Сорочинск","ООО «Газпромнефть-Оренбург»","Филатовское месторождение","нефтяное",NA
116,"Нижневартовск","ООО «Газпромнефть-Хантос»","Западно-Зимний участок","нефтяное",NA
117,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Приобское месторождение (северная лицензионная территория (СЛТ))","нефтяное",NA
118,"Самара","АО ""Самаранефтегаз""","Южно-Орловское месторождение","нефтяное",NA
119,"Ижевск","ОАО ""Удмуртнефть""","Архангельское месторождение","нефтяное",NA
120,"Киенгоп","ОАО ""Удмуртнефть""","Киенгопское месторождение","нефтяное",NA
121,"Игра","ОАО ""Удмуртнефть""","Чутырское месторождение","нефтяное",NA
122,"Кунгур","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Ильичевское месторождение","нефтяное",NA
123,"Нижневартовск","АО «Томскнефть» ВНК","Западно-Полуденное месторождение","нефтяное",NA
124,"Новый Уренгой","АО ""Мессояханефтегаз""","Западно-Мессояхское месторождение","нефтегазовое",NA
125,"Новый Уренгой","АО ""Мессояханефтегаз""","Восточно-Мессояхское месторождение","нефтегазовое",NA
126,"Сабетта","ОАО ""Ямал СПГ""","Южно-Тамбейское месторождение","газоконденсатное",NA
127,"Юрхарово","АО «Нортгаз»","Северо-Уренгойское месторождение","газоконденсатное",NA
128,"Юрхарово","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Юрхаровское месторождение","нефтегазоконденсатное",NA
129,"Тарко-Сале","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Восточно-Таркосалинское месторождение","нефтегазоконденсатное",NA
130,"Тарко-Сале","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Ханчейское месторождение","газоконденсатное",NA
131,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Самбургский лицензионный участок (Самбургское месторождение)","газоконденсатное",NA
132,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Уренгойское месторождение ОАО «АРКТИКГАЗ»","нефтегазоконденсатное",NA
133,"Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Яро-Яхинское месторождение (Яро-Яхинский лицензионный участок)","нефтегазоконденсатное",NA
134,"Яры","Собственник/Инвестор","Юмбъяхское месторождение","газоконденсатное",NA
135,"Мунгуй","АО ""ТАЙМЫРНЕФТЕГАЗ""","Северо-Пайяхское месторождение","нефтяное",NA
136,"Киренск","АО ""ВЕРХНЕЧОНСКНЕФТЕГАЗ"" (АО ""ВЧНГ"")","Северо-Даниловское месторождение","нефтегазоконденсатное",NA
137,"Южно-Сахалинск","ООО ""Венинефть""","Северо-Венинское месторождение","газоконденсатное",NA
138,"Тазовский","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Дороговское месторождение","нефтегазоконденсатное",NA
139,"Тобольск","ООО «РН «Уватнефтегаз»","Усть-Тегусское месторождение","нефтяное",NA
140,"Нижневартовск","АО «Самотлорнефтегаз»","Самотлорское месторождение","нефтяное",NA
141,"Альметьевск","ПАО «Татнефть»","Ромашкинское месторождение","нефтяное",NA
142,"Атырау","АО ""КоЖан""","Морское месторождение","нефтяное",NA
143,"Харьяга","АО ""Зарубежнефть""","Харьягинское месторождение","нефтяное",NA
144,"Нефтеюганск","ООО «РН-Юганскнефтегаз»","Мамонтовское месторождение","нефтяное",NA
