"id","city","company","name","type","prod"
514,"Армавир","ООО «Газпром добыча Краснодар»","Южно-Советское месторождение","газоконденсатное",NA
515,"Городовиковск","ООО «Газпром добыча Краснодар»","Радыковское месторождение","газовое",NA
516,"Городовиковск","ООО «Газпром добыча Краснодар»","Южно-Радыковское месторождение","газовое",NA
517,"Ставрополь","ООО «Газпром добыча Краснодар»","Безопасненское месторождение","газовое",NA
518,"Ставрополь","ООО «Газпром добыча Краснодар»","Тахта-Кугультинское месторождение","газовое",NA
519,"Светлоград","ООО «Газпром добыча Краснодар»","Кугутское месторождение","газовое",NA
520,"Светлоград","ООО «Газпром добыча Краснодар»","Казино-Грачевское месторождение","газовое",NA
521,"Светлоград","ООО «Газпром добыча Краснодар»","Петровско-Благодарненское месторождение","газовое",NA
522,"Благодарный","ООО «Газпром добыча Краснодар»","Каменно-Балковское месторождение","газовое",NA
523,"Благодарный","ООО «Газпром добыча Краснодар»","Восточно-Арзгирское месторождение","газовое",NA
524,"Благодарный","ООО «Газпром добыча Краснодар»","Мирненское месторождение","газоконденсатное",NA
525,"Благодарный","ООО «Газпром добыча Краснодар»","Журавское месторождение","нефтегазовое",NA
526,"Белореченск","ООО «Газпром добыча Краснодар»","Некрасовское месторождение","газоконденсатное",NA
527,"Белореченск","ООО «Газпром добыча Краснодар»","Ладожское месторождение","газовое",NA
528,"Славянск-на-Кубани","ООО «Газпром добыча Краснодар»","Пригибское месторождение","газовое",NA
529,"Славянск-на-Кубани","ООО «Газпром добыча Краснодар»","Гривенское месторождение","газовое",NA
530,"Славянск-на-Кубани","ООО «Газпром добыча Краснодар»","Мусициевское месторождение","газовое",NA
531,"Славянск-на-Кубани","ООО «Газпром добыча Краснодар»","Мостовянское месторождение","газовое",NA
532,"Каменск-Шахтинский","ООО «Газпром добыча Краснодар»","Кружиловское месторождение","газовое",NA
533,"Темрюк","ООО «Газпром добыча Краснодар»","Прибрежное месторождение","нефтегазоконденсатное",NA
534,"Краснодар","ООО «Газпром добыча Краснодар»","Мечетское месторождение","газовое",NA
535,"Темрюк","ООО «Газпром добыча Краснодар»","Черноерковское месторождение","нефтегазоконденсатное",NA
536,"Темрюк","ООО «Газпром добыча Краснодар»","Южно-Черноерковское месторождение","нефтегазовое",NA
537,"Крымск","ООО «Газпром добыча Краснодар»","Красноармейское месторождение","газовое",NA
538,"Краснодар","ООО «Газпром добыча Краснодар»","Западно-Красноармейское месторождение","газовое",NA
539,"Мурманск","ПАО «Газпром»","Ледовое месторождение","газоконденсатное",NA
540,"Дудинка","ПАО ""НК ""РОСНЕФТЬ""","Западно-Иркинский лицензионный участок","нефтегазовое",NA
541,"Волгоград","АО «РИТЭК»","Малышевское месторождение","нефтегазоконденсатное",NA
542,"Новый Уренгой","АО «Сибнефтегаз»","Хадытаяхский лицензионный участок","нефтегазовое",NA
543,"Новый Уренгой","АО «Сибнефтегаз»","Малохадырьяхинский лицензионный участок","нефтегазовое",NA
544,"Краснодар","ПАО ""НК ""РОСНЕФТЬ""","Западно-Мечетское месторождение","нефтяное",NA
545,"Бузулук","АО «Оренбургнефть»","Новожедринское месторождение","нефтяное",NA
546,"Бузулук","АО «Оренбургнефть»","Пешковское месторождение","нефтяное",NA
547,"Бузулук","АО «Оренбургнефть»","Сахаровское месторождение","нефтегазоконденсатное",NA
548,"Бузулук","АО «Оренбургнефть»","Бугринское месторождение","нефтяное",NA
549,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Пермяковское месторождение","нефтяное",NA
550,"Бугуруслан","АО «Оренбургнефть»","Новомихайловское месторождение","нефтяное",NA
551,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Хохловское месторождение","нефтяное",NA
552,"Самара","АО «РИТЭК»","Мамуринское месторождение","нефтяное",NA
553,"Чайковский","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Осинское месторождение","нефтяное",NA
554,NA,"ПАО «Татнефть»","Краснооктябрьское месторождение","нефтяное",NA
555,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Локосовское месторождение","нефтяное",NA
556,"Самара","АО ""Самаранефтегаз""","Белозерско-Чубовское месторождение","нефтяное",NA
557,"Уфа","ПАО АНК «Башнефть»","Малышевское месторождение","нефтяное",NA
558,"Самара","АО ""Самаранефтегаз""","Малышевское месторождение","нефтяное",NA
