OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,id,city,company,name,type,prod,type_ru,lat,long,out,name_en,AREA,PERIMETER,CODE,NAME_1,TYPE_1,REG,AREA_1,PERIMETER_1,GLG
27,1,27,1,27,27,Íîâûé Óðåíãîé,ÎÎÎ «Ãàçïðîìíåôòü-ßìàë»,Ñåâåðî-Ñàìáóðãñêîå ìåñòîðîæäåíèå,oil,80.000000000000000,íåôòÿíîå,67.005278000000004,77.479167000000004,/oil-gas-field/severo-samburgskoe,Severo Samburgskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
28,1,28,1,28,28,Âîòêèíñê,ÎÀÎ ""Óäìóðòíåôòü"",Ìèøêèíñêîå ìåñòîðîæäåíèå,oil,79.900000000000006,íåôòÿíîå,57.130184000000000,54.028702000000003,/oil-gas-field/mishkinskoe,Mishkinskoe,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,604011631899.788940429687500,20681400.471999999135733,P
29,1,29,1,29,29,Äóäèíêà,ÀÎ «Ñàìîòëîðíåôòåãàç»,Ëîäî÷íîå ìåñòîðîæäåíèå,oil-gas-condensate,77.000000000000000,íåôòåãàçîêîíäåíñàòíîå,67.540278000000001,83.187500000000000,/oil-gas-field/lodochnoe,Lodochnoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
30,1,30,1,30,30,ïîñ. Ëûõìà Áåëîÿðñêîãî ð-íà,ÏÀÎ ""ËÓÊÎÉË"",Ìåñòîðîæäåíèå èì. Â.Í. Âèíîãðàäîâà (Áîëüøîå Îëüõîâñêîå íåôòÿíîå ìåñòîðîæäåíèå),oil,75.000000000000000,íåôòÿíîå,62.965212000000001,67.491759999999999,/oil-gas-field/v-n-vinogradova,V N Vinogradova,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
31,1,31,1,31,31,Ñàðàïóë,ÎÀÎ ""Óäìóðòíåôòü"",Åëüíèêîâñêîå ìåñòîðîæäåíèå,oil,74.909999999999997,íåôòÿíîå,56.259753000000003,54.060974000000002,/oil-gas-field/elnikovskoe,Elnikovskoe,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,604011631899.788940429687500,20681400.471999999135733,P
32,1,32,1,32,32,Òàçîâñêèé,ÎÎÎ ""Ãàçïðîì äîáû÷à ßìáóðã"",Òàçîâñêîå ìåñòîðîæäåíèå,oil-gas-condensate,72.000000000000000,íåôòåãàçîêîíäåíñàòíîå,67.331943999999993,78.998056000000005,/oil-gas-field/tazovskoe,Tazovskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
33,1,33,1,33,33,Íîÿáðüñê,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Õîëìîãîðñêîå ìåñòîðîæäåíèå,oil,70.000000000000000,íåôòÿíîå,62.957720000000002,74.355459999999994,/oil-gas-field/kholmogorskoye,Kholmogorskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
34,1,34,1,34,34,Íàðüÿí-Ìàð,ÎÎÎ «Ãàçïðîì íåôòü øåëüô»,Ïðèðàçëîìíîå ìåñòîðîæäåíèå,oil,70.000000000000000,íåôòÿíîå,69.251769999999993,57.341760000000001,/oil-gas-field/prirazlomnoe,Prirazlomnoe,450939701379.052001953125000,3262746.402999999932945,1008,Timan-Pechora Basin,p,1,10059528710210.796875000000000,88017714.201000005006790,SEA
35,1,35,1,35,35,Èãàðêà,ÎÎÎ «ËÓÊÎÉË-Çàïàäíàÿ Ñèáèðü»,Ïÿêÿõèíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,69.500000000000000,íåôòåãàçîêîíäåíñàòíîå,67.469397999999998,80.074539000000001,/oil-gas-field/pyakyakhinskoye,Pyakyakhinskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
36,1,36,1,36,36,Âîòêèíñê,ÎÀÎ ""Óäìóðòíåôòü"",Ãðåìèõèíñêîå ìåñòîðîæäåíèå,oil,65.439999999999998,íåôòÿíîå,56.845028999999997,53.657913000000001,/oil-gas-field/gremihinskoe,Gremihinskoe,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,604011631899.788940429687500,20681400.471999999135733,P
37,1,37,1,37,37,Ãóáêèíñêèé,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Âûíãàÿõèíñêîå ìåñòîðîæäåíèå,oil-gas,62.000000000000000,íåôòåãàçîâîå,63.756990000000002,76.804040000000001,/oil-gas-field/vyngayakhinskoye,Vyngayakhinskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
38,1,38,1,38,38,Íèæíåâàðòîâñê,ÏÀÎ ""ÍÊ ""ÐÎÑÍÅÔÒÜ"",Âàí-Åãàíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,62.000000000000000,íåôòåãàçîêîíäåíñàòíîå,61.873956999999997,77.246932999999999,/oil-gas-field/van-eganskoe,Van Eganskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
39,1,39,1,39,39,Íîÿáðüñê,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Ñïîðûøåâñêîå ìåñòîðîæäåíèå,oil,54.600000000000001,íåôòÿíîå,63.306510000000003,75.517269999999996,/oil-gas-field/sporyshevskoye,Sporyshevskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
40,1,40,1,40,40,Ìóðàâëåíêî,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Êðàéíåå ìåñòîðîæäåíèå,oil,52.000000000000000,íåôòÿíîå,63.674280000000003,74.312889999999996,/oil-gas-field/krainee,Krainee,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
41,1,41,1,41,41,Íÿãàíü,ÀÎ «ÐÍ-Íÿãàíüíåôòåãàç»,Åì-¨ãîâñêîå ìåñòîðîæäåíèå,oil,51.000000000000000,íåôòÿíîå,61.806879000000002,66.479645000000005,/oil-gas-field/yem-yogovskoye,Yem Yogovskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
42,1,42,1,42,42,Íàðüÿí-Ìàð,ÎÎÎ ""Áàøíåôòü-Ïîëþñ"",Ìåñòîðîæäåíèå èì. Ð. Òðåáñà (Âàðêíàâòñêîå ìåñòîðîæäåíèå),oil,51.000000000000000,íåôòÿíîå,68.653555999999995,57.900696000000003,/oil-gas-field/r-trebs-varknavt,R Trebs Varknavt,450939701379.052001953125000,3262746.402999999932945,1008,Timan-Pechora Basin,p,1,109204210740.423004150390625,3242898.160000000149012,K
43,1,43,1,43,43,Õàíòû-Ìàíñèéñê,ÏÀÎ ""ÍÊ ""ÐÎÑÍÅÔÒÜ"",Íàçûìñêîå ìåñòîðîæäåíèå,oil,43.000000000000000,íåôòÿíîå,62.450277999999997,68.007499999999993,/oil-gas-field/nazymskoe,Nazymskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
44,1,44,1,44,44,Àñòðàõàíü,ÇÀÎ ""Íåôòåãàçîâàÿ êîìïàíèÿ ""ÀÔÁ"" (""ÍÃÊ ""ÀÔÁ""),Ìåñòîðîæäåíèå Âåëèêîå,oil-gas,42.299999999999997,íåôòåãàçîâîå,47.186083000000004,47.510258999999998,/oil-gas-field/velikoe,Velikoe,546688741566.757995605468750,2862387.569999999832362,1016,North Caspian Basin,p,1,626721419021.604980468750000,19300571.103999998420477,N
45,1,45,1,45,45,Õàíòû-Ìàíñèéñê,Ñîáñòâåííèê/Èíâåñòîð,Ãàâðèêîâñêîå ìåñòîðîæäåíèå,oil,40.000000000000000,íåôòÿíîå,58.947778000000000,74.265556000000004,/oil-gas-field/gavrikovskoe,Gavrikovskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
46,1,46,1,46,46,Íîâûé Óðåíãîé,ÎÎÎ «ÍÎÂÀÒÝÊ-ÒÀÐÊÎÑÀËÅÍÅÔÒÅÃÀÇ»,Õàðáåéñêîå ìåñòîðîæäåíèå,oil-gas-condensate,40.000000000000000,íåôòåãàçîêîíäåíñàòíîå,67.014443999999997,80.895832999999996,/oil-gas-field/kharbeiskoe,Kharbeiskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
47,1,47,1,47,47,Íàðüÿí-Ìàð,ÎÎÎ ""Áàøíåôòü-Ïîëþñ"",Ìåñòîðîæäåíèå èì. À. Òèòîâà,oil,38.000000000000000,íåôòÿíîå,68.303427999999997,58.371048000000002,/oil-gas-field/a-titova,A Titova,450939701379.052001953125000,3262746.402999999932945,1008,Timan-Pechora Basin,p,1,109204210740.423004150390625,3242898.160000000149012,K
48,1,48,1,48,48,Àñòðàõàíü,ÏÀÎ ""ËÓÊÎÉË"",Ìåñòîðîæäåíèå èì. Â.È. Ãðàéôåðà (Ðàêóøå÷íîå ìåñòîðîæäåíèå),gas-condensate,38.000000000000000,ãàçîêîíäåíñàòíîå,45.062778000000002,48.610833000000000,/oil-gas-field/rakushechnoe,Rakushechnoe,424289671751.504028320312500,4260165.265999999828637,1109,Middle Caspian Basin,p,1,409082547603.734008789062500,6944516.891999999992549,SEA
49,1,49,1,49,49,Êóþìáà,ÏÀÎ «Ãàçïðîì íåôòü»,Îìîðèíñêîå ìåñòîðîæäåíèå,oil-gas,36.000000000000000,íåôòåãàçîâîå,60.166668999999999,95.414478000000003,/oil-gas-field/omorinskoye,Omorinskoye,202839517987.707000732421875,2408122.007999999914318,1207,Baykit Arch,b,1,8383974792.894000053405762,1287634.546000000089407,O
50,1,50,1,50,50,Êèðåíñê,ÎÎÎ «ÈÍÊ» (Èðêóòñêàÿ íåôòÿíàÿ êîìïàíèÿ),Çàïàäíî-Àÿíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,33.579999999999998,íåôòåãàçîêîíäåíñàòíîå,57.705615000000002,107.432556000000005,/oil-gas-field/west-ayanskoe,West Ayanskoe,360115965584.392028808593750,3295676.089999999850988,1210,Nepa-Botuoba Arch,p,1,130081261281.199005126953125,6486465.122999999672174,O
51,1,51,1,51,51,Õàíòû-Ìàíñèéñê,ÎÀÎ ""Ñóðãóòíåôòåãàç"",Ñåâåðî-Ðîãîæíèêîâñêîå (èìåíè Â. È. Øïèëüìàíà) ìåñòîðîæäåíèå,oil,32.950000000000003,íåôòÿíîå,62.423445999999998,66.906738000000004,/oil-gas-field/severo-rogozhnikovskoe-shpilmana,Severo Rogozhnikovskoe Shpilmana,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
52,1,52,1,52,52,Ñåâåðñê,ÀÎ ""Íîâîñèáèðñêíåôòåãàç"",Âåðõ-Òàðñêîå ìåñòîðîæäåíèå,oil,32.000000000000000,íåôòÿíîå,56.803697999999997,78.718586000000002,/oil-gas-field/verkh-tarskoe,Verkh Tarskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,274348615164.579986572265625,7957469.074000000022352,QT
53,1,53,1,53,53,Õàíòû-Ìàíñèéñê,ÎÎÎ ""Áàøíåôòü-Ïîëþñ"",Òîðòàñèíñêîå ìåñòîðîæäåíèå,oil,29.000000000000000,íåôòÿíîå,62.211388999999997,69.501110999999995,/oil-gas-field/tortasinskoe,Tortasinskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
54,1,54,1,54,54,Àñòðàõàíü,ÏÀÎ ""ËÓÊÎÉË"",Ìåñòîðîæäåíèå èì. Þ. Êîð÷àãèíà,oil-gas-condensate,28.800000000000001,íåôòåãàçîêîíäåíñàòíîå,44.924722000000003,48.985556000000003,/oil-gas-field/korchagina,Korchagina,424289671751.504028320312500,4260165.265999999828637,1109,Middle Caspian Basin,p,1,409082547603.734008789062500,6944516.891999999992549,SEA
55,1,55,1,55,55,Íîÿáðüñê,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Ðàâíèííîå ìåñòîðîæäåíèå,oil,28.000000000000000,íåôòÿíîå,63.328090000000003,79.523160000000004,/oil-gas-field/ravninnoye,Ravninnoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
56,1,56,1,56,56,Íîÿáðüñê,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Âûíãàïóðîâñêîå ìåñòîðîæäåíèå,oil-gas,26.000000000000000,íåôòåãàçîâîå,63.052470000000000,76.912530000000004,/oil-gas-field/vyngapurovskoye,Vyngapurovskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
57,1,57,1,57,57,Îðåíáóðã,Ñîáñòâåííèê/Èíâåñòîð,Ñëàäêîâñêî-çàðå÷íîå ìåñòîðîæäåíèå,oil,26.000000000000000,íåôòÿíîå,51.666389000000002,52.828055999999997,/oil-gas-field/sladovsko-zarechnoe,Sladovsko Zarechnoe,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,8449014828.029999732971191,1941975.810999999986961,Tr
58,1,58,1,58,58,Êåäðîâûé,ÎÎÎ «Ãàçïðîìíåôòü-Âîñòîê»,Óðìàíñêîå ìåñòîðîæäåíèå,oil,25.250000000000000,íåôòÿíîå,57.606059999999999,78.411479999999997,/oil-gas-field/urmanskoye,Urmanskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
59,1,59,1,59,59,Îðåíáóðã,ÎÎÎ «Ãàçïðîìíåôòü-Îðåíáóðã»,Öàðè÷àíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,25.000000000000000,íåôòåãàçîêîíäåíñàòíîå,52.222749999999998,54.213400000000000,/oil-gas-field/tsarichanskoye,Tsarichanskoye,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,604011631899.788940429687500,20681400.471999999135733,P
60,1,60,1,60,60,Äåìüÿíñêîå,ÎÎÎ «Ãàçïðîìíåôòü-Õàíòîñ»,Çèìíåå ìåñòîðîæäåíèå,oil,23.000000000000000,íåôòÿíîå,59.639290000000003,68.891139999999993,/oil-gas-field/zimnee,Zimnee,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
61,1,61,1,61,61,Õàíòû-Ìàíñèéñê,ÏÀÎ ""ÍÊ ""ÐÎÑÍÅÔÒÜ"",Çàïàäíî-Ýðãèíñêîå ìåñòîðîæäåíèå,oil,23.000000000000000,íåôòÿíîå,60.572221999999996,69.030277999999996,/oil-gas-field/zapadno-erginskoe,Zapadno Erginskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
62,1,62,1,62,62,Íÿãàíü,ÎÎÎ «Ãàçïðîìíåôòü-Õàíòîñ»,Ïàëüÿíîâñêîå ìåñòîðîæäåíèå,oil,20.300000000000001,íåôòÿíîå,61.734119999999997,66.956170000000000,/oil-gas-field/palyanovskoye,Palyanovskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
63,1,63,1,63,63,Òàðà,ÎÎÎ «Ãàçïðîìíåôòü-Âîñòîê»,Êðàïèâèíñêîå ìåñòîðîæäåíèå Þãî-Çàïàäíàÿ ÷àñòü,oil,20.000000000000000,íåôòÿíîå,57.906820000000003,75.539240000000007,/oil-gas-field/krapivinskoye,Krapivinskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,274348615164.579986572265625,7957469.074000000022352,QT
64,1,64,1,64,64,Ãóáêèíñêèé,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Åòû-Ïóðîâñêîå ìåñòîðîæäåíèå,oil-gas,20.000000000000000,íåôòåãàçîâîå,63.964509999999997,77.568960000000004,/oil-gas-field/eti-purovskoe,Eti Purovskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
65,1,65,1,65,65,Êåäðîâûé,ÎÎÎ «Ãàçïðîìíåôòü-Âîñòîê»,Àð÷èíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,18.219999999999999,íåôòåãàçîêîíäåíñàòíîå,57.494790000000002,78.465040000000002,/oil-gas-field/archinskoe,Archinskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
